唯一标识,所在区域,景点名称,评论数量,评分,是否为广告内容,是否被推荐,城市名称,图片,与市中心的距离,标签,详情页链接,市场票价,优惠价格,优惠描述,实际票价,价格类型,价格类型描述,是否免费,经度,纬度,热度评分,省份
92092,鲁迅公园-鲁迅纪念馆,四川北路商业区,274.0,0.0,False,False,上海,https://dimg04.c-ctrip.com/images/0100k12000f6rcy341406.jpg,距市中心4.5km,赏花胜地|博物馆&展馆,https://you.ctrip.com/sight/shanghai2/110629.html?scene=online,,,,免费,4.0,免费,True,31.275505,121.490442,3.6,上海
143000398,上海 · 泡泡秀互动游戏版世界经典童话剧《三只小猪》,静安寺/南京西路,0.0,0.0,False,False,上海,https://dimg04.c-ctrip.com/images/0105312000imcd44o21CB.jpg,距市中心3.0km,,https://you.ctrip.com/sight/shanghai2/143000398.html?scene=online,,,,免费,5.0,,False,31.22768,121.450152,3.5,上海
64673287,迪士尼朋友见面处,迪士尼度假区,15079.0,4.8,False,False,上海,https://dimg04.c-ctrip.com/images/100k0t000000isro64394.jpg,距市中心20.4km,,https://you.ctrip.com/sight/shanghai2/64673287.html?scene=online,,,,免费,5.0,,False,31.149149,121.668412,3.6,上海
28536902,奇幻童话城堡,迪士尼度假区,115.0,4.6,False,False,上海,https://dimg04.c-ctrip.com/images/10061f000001gqudg6915.jpg,距市中心20.2km,夜游观景,https://you.ctrip.com/sight/shanghai2/1942250.html?scene=online,,,,免费,5.0,,False,31.149756,121.666052,3.6,上海
91527,方塔园,佘山/松江大学城,856.0,4.7,False,False,上海,https://dimg04.c-ctrip.com/images/100e0z000000nj37s1275.jpg,距市中心33.2km,赏花胜地|园林花园,https://you.ctrip.com/sight/shanghai2/109987.html?scene=online,12.0,0.0,已减,12.0,2.0,门票,False,31.010052,121.253112,3.6,上海
140610736,阿尔卑斯雪世界,阿尔卑斯雪世界/太仓南,5769.0,4.9,False,False,太仓,https://dimg04.c-ctrip.com/images/0100n12000f6uo5mlA9E5.png,距上海36.6km,冰雪乐园|夜游观景,https://you.ctrip.com/sight/taicang255/140610736.html?scene=online,218.0,0.0,已减,189.0,2.0,门票,False,31.409976,121.153212,6.0,上海
143190513,太仓阿尔卑斯国际度假区,阿尔卑斯雪世界/太仓南,68.0,4.8,False,False,太仓,https://dimg04.c-ctrip.com/images/1lo1p12000cl23hrp0580.png,距上海36.6km,夜游观景,https://you.ctrip.com/sight/taicang255/143190513.html?scene=online,399.0,0.0,已减,289.0,2.0,门票,False,31.415855,121.157121,6.0,上海
154215037,2026上海湾区·金山城市沙滩国际音乐烟花秀,金山城市沙滩地区,0.0,0.0,False,False,上海,https://dimg04.c-ctrip.com/images/0103712000s33jblg017B.png,距市中心59.2km,,https://you.ctrip.com/sight/shanghai2/154215037.html?scene=online,298.0,0.0,已减,168.0,2.0,门票,False,30.715034,121.359396,3.7,上海
152975869,上海 · 兜好玩艺术剧团·神奇系列秀 | 泡泡 | 气球 | 魔术 | 科学 互动秀（虹桥艺术中心）,虹桥地区,0.0,0.0,False,False,上海,https://dimg04.c-ctrip.com/images/0105x12000nyw9z6h49A4.png,距市中心6.9km,,https://you.ctrip.com/sight/shanghai2/152975869.html?scene=online,,,,免费,5.0,,False,31.217375,121.410776,3.6,上海
153104870,上海 · 恐怖解压剧《片场2.0》声光电全沉浸｜恐怖环绕｜大型机关装置｜揭秘娱乐圈内幕,四川北路商业区,1.0,5.0,False,False,上海,https://dimg04.c-ctrip.com/images/1mh3112000pmav4wf956C.jpg,距市中心2.4km,,https://you.ctrip.com/sight/shanghai2/153104870.html?scene=online,,,,免费,5.0,,False,31.255755,121.490321,3.6,上海
